timestamp,location,temp,humidity,vpd,dew_point
2026-05-06 12:41:02,outdoor,19.1,54.1,1.015,9.6
2026-05-06 13:54:00,outdoor,18.7,55.3,0.964,9.55
2026-05-06 14:16:03,outdoor,19.3,54.5,1.019,9.89
2026-05-06 14:23:04,outdoor,18.8,54.8,0.981,9.51
2026-05-06 15:53:59,outdoor,19.0,52.6,1.041,9.09
2026-05-06 16:08:04,outdoor,18.5,51.8,1.026,8.4
2026-05-06 16:20:04,outdoor,17.9,52.1,0.982,7.93
2026-05-06 16:37:03,outdoor,17.4,54.1,0.912,8.02
2026-05-06 17:52:01,outdoor,17.0,59.1,0.792,8.95
2026-05-06 17:54:05,outdoor,16.9,59.0,0.789,8.83
2026-05-06 18:57:01,outdoor,16.4,62.5,0.699,9.22
2026-05-06 19:54:01,outdoor,15.9,62.3,0.681,8.7
2026-05-06 19:55:05,outdoor,16.0,62.4,0.684,8.82
2026-05-06 20:39:01,outdoor,15.5,64.5,0.625,8.83
2026-05-06 21:27:03,outdoor,15.1,69.6,0.522,9.58
2026-05-06 21:54:03,outdoor,14.6,73.1,0.447,9.83
2026-05-06 21:55:05,outdoor,14.7,72.7,0.457,9.85
2026-05-06 22:32:03,outdoor,14.1,76.2,0.383,9.97
2026-05-06 23:55:59,outdoor,13.8,79.4,0.325,10.3
2026-05-07 01:56:57,outdoor,13.7,84.1,0.249,11.06
2026-05-07 03:22:59,outdoor,13.2,85.3,0.223,10.79
2026-05-07 03:57:02,outdoor,13.2,86.5,0.205,11.0
2026-05-07 05:57:57,outdoor,13.4,89.2,0.166,11.66
2026-05-07 07:52:59,outdoor,13.9,89.8,0.162,12.25
2026-05-07 07:58:04,outdoor,14.0,89.7,0.165,12.33
2026-05-07 08:39:03,outdoor,14.5,90.0,0.165,12.88
2026-05-07 09:19:03,outdoor,15.0,87.2,0.218,12.89
2026-05-07 09:58:03,outdoor,15.3,83.0,0.296,12.43
2026-05-07 10:47:02,outdoor,15.8,81.7,0.328,12.68
2026-05-07 11:12:03,outdoor,15.3,79.4,0.358,11.75
2026-05-07 11:39:03,outdoor,15.9,80.9,0.345,12.62
2026-05-07 11:49:04,outdoor,16.0,75.5,0.445,11.67
2026-05-07 11:58:05,outdoor,16.1,74.2,0.472,11.5
